SKU,Name,Description,OEM Number,Brand,Compatible Make,Compatible Model,Year From,Year To,Weight,Dimensions,Unit Price,Cost Price
SKU-070000,Valeo Radiator,High quality Radiator for Honda Camry,OEM-901522,Valeo,Honda,Camry,2018,2022,12.83,21x38x22 cm,420.17,212.83
SKU-070001,Bosch Spark Plug,High quality Spark Plug for Audi Corolla,OEM-726828,Bosch,Audi,Corolla,2013,2018,14.86,34x22x12 cm,20.04,10.64
SKU-070002,Denso Radiator,High quality Radiator for Kia C-Class,OEM-513884,Denso,Kia,C-Class,2004,2009,2.69,30x18x5 cm,245.21,123.49
SKU-070003,Febi Air Filter,High quality Air Filter for Toyota Camry,OEM-553456,Febi,Toyota,Camry,2015,2022,8.07,48x32x22 cm,273.72,157.99
SKU-070004,Bosch Alternator,High quality Alternator for Honda Civic,OEM-456209,Bosch,Honda,Civic,2014,2017,8.28,49x42x30 cm,269.25,213.76
SKU-070005,Delphi Clutch Kit,High quality Clutch Kit for Toyota A4,OEM-143803,Delphi,Toyota,A4,2017,2024,3.78,20x22x12 cm,208.29,159.12
SKU-070006,Denso Alternator,High quality Alternator for Kia Civic,OEM-587357,Denso,Kia,Civic,2007,2008,1.78,17x28x20 cm,291.74,185.17
SKU-070007,Bosch Spark Plug,High quality Spark Plug for Honda C-Class,OEM-807546,Bosch,Honda,C-Class,2018,2020,11.38,14x12x29 cm,374.05,201.97
SKU-070008,Valeo Oil Filter,High quality Oil Filter for Toyota Camry,OEM-142984,Valeo,Toyota,Camry,2009,2011,6.1,37x25x12 cm,134.72,96.57
SKU-070009,Denso Shock Absorber,High quality Shock Absorber for Hyundai A4,OEM-124542,Denso,Hyundai,A4,2003,2009,4.51,16x23x30 cm,416.2,315.45
SKU-070010,Valeo Air Filter,High quality Air Filter for BMW Sportage,OEM-749374,Valeo,BMW,Sportage,2000,2002,14.45,17x16x11 cm,258.08,164.36
SKU-070011,Febi Timing Belt,High quality Timing Belt for Ford Elantra,OEM-263365,Febi,Ford,Elantra,2013,2018,11.31,37x40x19 cm,296.65,153.66
SKU-070012,Febi Fuel Pump,High quality Fuel Pump for Audi Elantra,OEM-434421,Febi,Audi,Elantra,2015,2021,5.57,36x43x21 cm,81.53,45.81
SKU-070013,SKF Radiator,High quality Radiator for Audi X5,OEM-157555,SKF,Audi,X5,2017,2021,5.48,41x26x24 cm,455.13,259.72
SKU-070014,Febi Timing Belt,High quality Timing Belt for Mercedes Camry,OEM-716158,Febi,Mercedes,Camry,2018,2021,11.0,22x20x14 cm,288.04,163.25
SKU-070015,Valeo Air Filter,High quality Air Filter for BMW Sportage,OEM-577226,Valeo,BMW,Sportage,2009,2014,8.24,32x49x22 cm,364.24,270.34
SKU-070016,Bosch Oil Filter,High quality Oil Filter for Hyundai C-Class,OEM-155447,Bosch,Hyundai,C-Class,2007,2009,5.91,16x45x10 cm,487.84,273.04
SKU-070017,Febi Alternator,High quality Alternator for Toyota C-Class,OEM-861889,Febi,Toyota,C-Class,2017,2024,10.04,16x30x21 cm,78.94,45.59
SKU-070018,NGK Shock Absorber,High quality Shock Absorber for Mercedes Civic,OEM-683078,NGK,Mercedes,Civic,2010,2013,11.8,45x28x30 cm,8.22,4.45
SKU-070019,Valeo Alternator,High quality Alternator for Audi Focus,OEM-534037,Valeo,Audi,Focus,2003,2006,0.83,43x43x25 cm,298.91,217.58
SKU-070020,NGK Timing Belt,High quality Timing Belt for Hyundai Civic,OEM-588417,NGK,Hyundai,Civic,2001,2007,1.04,47x42x25 cm,262.62,165.26
SKU-070021,Delphi Radiator,High quality Radiator for Honda Focus,OEM-446034,Delphi,Honda,Focus,2018,2022,3.31,50x37x28 cm,290.45,210.13
SKU-070022,SKF Clutch Kit,High quality Clutch Kit for Audi Camry,OEM-539688,SKF,Audi,Camry,2005,2012,9.23,36x30x25 cm,138.39,97.03
SKU-070023,Bosch Clutch Kit,High quality Clutch Kit for Toyota Civic,OEM-625491,Bosch,Toyota,Civic,2014,2015,4.83,31x44x26 cm,189.45,100.2
SKU-070024,Delphi Clutch Kit,High quality Clutch Kit for Toyota Focus,OEM-250924,Delphi,Toyota,Focus,2014,2017,14.76,48x39x24 cm,443.39,320.5
SKU-070025,Delphi Alternator,High quality Alternator for Audi Focus,OEM-385475,Delphi,Audi,Focus,2012,2018,2.96,47x30x5 cm,376.75,270.64
SKU-070026,Delphi Fuel Pump,High quality Fuel Pump for BMW Camry,OEM-616287,Delphi,BMW,Camry,2007,2010,0.89,28x29x24 cm,190.92,104.47
SKU-070027,NGK Spark Plug,High quality Spark Plug for Hyundai Elantra,OEM-996383,NGK,Hyundai,Elantra,2009,2012,11.63,45x45x30 cm,138.54,79.45
SKU-070028,NGK Oil Filter,High quality Oil Filter for Kia Camry,OEM-779128,NGK,Kia,Camry,2011,2016,9.96,10x11x13 cm,197.28,132.93
SKU-070029,SKF Radiator,High quality Radiator for Honda Elantra,OEM-509110,SKF,Honda,Elantra,2006,2009,12.45,13x23x29 cm,298.86,223.06
SKU-070030,Mahle Shock Absorber,High quality Shock Absorber for Mercedes A4,OEM-457244,Mahle,Mercedes,A4,2008,2014,7.87,20x38x6 cm,99.08,68.51
SKU-070031,Mahle Spark Plug,High quality Spark Plug for Audi Corolla,OEM-703329,Mahle,Audi,Corolla,2000,2004,13.92,10x29x20 cm,110.59,56.7
SKU-070032,SKF Clutch Kit,High quality Clutch Kit for Hyundai Sportage,OEM-251136,SKF,Hyundai,Sportage,2012,2013,8.97,45x45x26 cm,127.9,71.22
SKU-070033,Mahle Air Filter,High quality Air Filter for Honda Civic,OEM-110340,Mahle,Honda,Civic,2014,2017,14.8,29x28x14 cm,447.05,255.02
SKU-070034,Febi Radiator,High quality Radiator for BMW A4,OEM-938622,Febi,BMW,A4,2006,2009,4.36,48x14x24 cm,369.24,280.45
SKU-070035,Delphi Fuel Pump,High quality Fuel Pump for Kia Civic,OEM-451655,Delphi,Kia,Civic,2016,2017,3.45,46x47x23 cm,74.63,39.94
SKU-070036,Denso Oil Filter,High quality Oil Filter for Mercedes C-Class,OEM-772252,Denso,Mercedes,C-Class,2008,2014,13.8,15x37x23 cm,327.5,223.68
SKU-070037,Mahle Spark Plug,High quality Spark Plug for BMW Sportage,OEM-772506,Mahle,BMW,Sportage,2005,2008,12.55,23x11x16 cm,314.96,187.23
SKU-070038,Delphi Fuel Pump,High quality Fuel Pump for Toyota C-Class,OEM-363500,Delphi,Toyota,C-Class,2009,2011,10.19,23x11x22 cm,88.86,66.98
SKU-070039,Febi Brake Pad,High quality Brake Pad for Ford C-Class,OEM-750927,Febi,Ford,C-Class,2017,2019,9.11,34x50x30 cm,253.55,188.34
SKU-070040,Valeo Oil Filter,High quality Oil Filter for Ford Focus,OEM-706640,Valeo,Ford,Focus,2010,2011,8.84,19x46x14 cm,139.88,111.89
SKU-070041,Febi Fuel Pump,High quality Fuel Pump for Honda Corolla,OEM-971930,Febi,Honda,Corolla,2008,2012,3.47,50x11x28 cm,260.43,159.69
SKU-070042,Febi Shock Absorber,High quality Shock Absorber for Audi Focus,OEM-331243,Febi,Audi,Focus,2008,2009,0.69,14x16x27 cm,231.59,170.53
SKU-070043,Delphi Spark Plug,High quality Spark Plug for BMW Civic,OEM-401683,Delphi,BMW,Civic,2002,2008,14.2,34x15x11 cm,121.11,95.95
SKU-070044,SKF Timing Belt,High quality Timing Belt for Hyundai Civic,OEM-970856,SKF,Hyundai,Civic,2005,2006,6.59,21x29x27 cm,451.83,351.33
SKU-070045,Febi Fuel Pump,High quality Fuel Pump for Honda Corolla,OEM-558336,Febi,Honda,Corolla,2006,2011,3.63,14x25x16 cm,46.82,26.94
SKU-070046,Delphi Shock Absorber,High quality Shock Absorber for Toyota Camry,OEM-911333,Delphi,Toyota,Camry,2018,2024,10.6,47x20x16 cm,378.68,204.63
SKU-070047,Febi Radiator,High quality Radiator for Toyota Sportage,OEM-784711,Febi,Toyota,Sportage,2000,2005,14.7,31x28x20 cm,119.01,91.73
SKU-070048,Denso Radiator,High quality Radiator for BMW Corolla,OEM-298452,Denso,BMW,Corolla,2010,2017,11.96,20x45x28 cm,355.81,201.32
SKU-070049,Delphi Air Filter,High quality Air Filter for Ford C-Class,OEM-681825,Delphi,Ford,C-Class,2009,2015,6.08,44x47x29 cm,446.44,324.65
SKU-070050,Mahle Oil Filter,High quality Oil Filter for Honda Focus,OEM-653982,Mahle,Honda,Focus,2016,2023,9.6,17x41x6 cm,57.45,43.24
SKU-070051,Valeo Shock Absorber,High quality Shock Absorber for Honda Elantra,OEM-612370,Valeo,Honda,Elantra,2002,2005,5.97,30x25x23 cm,251.45,200.66
SKU-070052,Valeo Radiator,High quality Radiator for Audi Focus,OEM-279660,Valeo,Audi,Focus,2010,2016,4.96,11x28x8 cm,299.25,179.94
SKU-070053,Mahle Timing Belt,High quality Timing Belt for BMW Elantra,OEM-783451,Mahle,BMW,Elantra,2004,2007,7.87,11x26x26 cm,237.38,123.1
SKU-070054,Delphi Shock Absorber,High quality Shock Absorber for Toyota Camry,OEM-812419,Delphi,Toyota,Camry,2014,2019,11.8,35x19x14 cm,235.6,119.52
SKU-070055,Bosch Alternator,High quality Alternator for Toyota Sportage,OEM-167810,Bosch,Toyota,Sportage,2015,2018,5.56,19x13x8 cm,96.5,50.66
SKU-070056,Delphi Fuel Pump,High quality Fuel Pump for Mercedes Focus,OEM-630109,Delphi,Mercedes,Focus,2016,2020,1.79,49x41x7 cm,67.56,45.47
SKU-070057,Bosch Clutch Kit,High quality Clutch Kit for BMW X5,OEM-366292,Bosch,BMW,X5,2011,2016,1.89,32x42x16 cm,343.25,269.73
SKU-070058,Delphi Radiator,High quality Radiator for BMW X5,OEM-712587,Delphi,BMW,X5,2013,2014,3.49,42x15x28 cm,328.04,191.75
SKU-070059,Bosch Oil Filter,High quality Oil Filter for Audi C-Class,OEM-925468,Bosch,Audi,C-Class,2014,2021,7.81,27x18x6 cm,287.71,175.14
SKU-070060,Delphi Alternator,High quality Alternator for Kia Corolla,OEM-429370,Delphi,Kia,Corolla,2011,2013,14.02,42x14x5 cm,365.47,196.96
SKU-070061,SKF Clutch Kit,High quality Clutch Kit for Ford Elantra,OEM-567465,SKF,Ford,Elantra,2013,2017,0.3,12x42x24 cm,154.59,105.9
SKU-070062,SKF Shock Absorber,High quality Shock Absorber for Honda Corolla,OEM-130026,SKF,Honda,Corolla,2008,2015,10.41,28x12x24 cm,141.16,96.43
SKU-070063,Bosch Alternator,High quality Alternator for Audi Elantra,OEM-599779,Bosch,Audi,Elantra,2008,2013,12.71,48x10x9 cm,497.45,308.59
SKU-070064,Denso Clutch Kit,High quality Clutch Kit for Mercedes Civic,OEM-580379,Denso,Mercedes,Civic,2002,2008,4.09,15x26x9 cm,69.42,41.98
SKU-070065,Febi Air Filter,High quality Air Filter for Mercedes A4,OEM-631247,Febi,Mercedes,A4,2009,2011,8.35,12x26x15 cm,132.62,71.92
SKU-070066,Valeo Fuel Pump,High quality Fuel Pump for Kia Sportage,OEM-877260,Valeo,Kia,Sportage,2004,2009,4.82,38x38x21 cm,284.35,191.67
SKU-070067,Valeo Brake Pad,High quality Brake Pad for Hyundai Civic,OEM-852117,Valeo,Hyundai,Civic,2012,2013,2.83,31x22x8 cm,424.11,262.81
SKU-070068,Mahle Timing Belt,High quality Timing Belt for Honda Corolla,OEM-789192,Mahle,Honda,Corolla,2004,2007,0.1,22x47x6 cm,209.5,163.71
SKU-070069,Bosch Oil Filter,High quality Oil Filter for Kia Sportage,OEM-540258,Bosch,Kia,Sportage,2018,2023,9.16,47x47x6 cm,88.16,64.61
SKU-070070,Denso Shock Absorber,High quality Shock Absorber for Honda X5,OEM-801113,Denso,Honda,X5,2010,2014,0.14,41x25x9 cm,59.63,46.37
SKU-070071,Febi Alternator,High quality Alternator for Mercedes Camry,OEM-283583,Febi,Mercedes,Camry,2001,2004,3.74,19x27x17 cm,490.35,276.26
SKU-070072,Febi Radiator,High quality Radiator for Mercedes Sportage,OEM-494033,Febi,Mercedes,Sportage,2018,2021,14.68,34x46x28 cm,54.55,29.55
SKU-070073,Mahle Fuel Pump,High quality Fuel Pump for BMW Camry,OEM-491451,Mahle,BMW,Camry,2008,2010,3.16,19x20x21 cm,303.94,214.98
SKU-070074,Febi Timing Belt,High quality Timing Belt for Toyota Sportage,OEM-571551,Febi,Toyota,Sportage,2018,2023,11.26,47x22x10 cm,384.97,278.94
SKU-070075,Bosch Spark Plug,High quality Spark Plug for Kia Focus,OEM-685660,Bosch,Kia,Focus,2001,2008,6.31,11x26x14 cm,74.72,41.89
SKU-070076,Delphi Clutch Kit,High quality Clutch Kit for Ford X5,OEM-334459,Delphi,Ford,X5,2014,2018,14.76,50x38x23 cm,346.04,229.44
SKU-070077,SKF Spark Plug,High quality Spark Plug for Kia Focus,OEM-387220,SKF,Kia,Focus,2008,2015,1.5,23x22x19 cm,110.22,82.95
SKU-070078,Delphi Oil Filter,High quality Oil Filter for Audi Civic,OEM-466108,Delphi,Audi,Civic,2002,2004,13.42,26x29x7 cm,292.1,188.5
SKU-070079,Delphi Radiator,High quality Radiator for Hyundai C-Class,OEM-872875,Delphi,Hyundai,C-Class,2001,2006,5.43,28x14x27 cm,184.96,103.81
SKU-070080,SKF Shock Absorber,High quality Shock Absorber for Kia Corolla,OEM-132637,SKF,Kia,Corolla,2009,2016,1.89,14x23x14 cm,431.5,256.54
SKU-070081,Mahle Shock Absorber,High quality Shock Absorber for Toyota Sportage,OEM-936647,Mahle,Toyota,Sportage,2001,2004,5.69,48x15x15 cm,375.64,238.76
SKU-070082,Bosch Radiator,High quality Radiator for Ford Sportage,OEM-316665,Bosch,Ford,Sportage,2013,2019,1.17,25x46x11 cm,122.58,97.37
SKU-070083,Denso Spark Plug,High quality Spark Plug for Mercedes Elantra,OEM-296995,Denso,Mercedes,Elantra,2012,2015,8.54,30x10x28 cm,415.38,237.15
SKU-070084,NGK Alternator,High quality Alternator for Audi X5,OEM-108167,NGK,Audi,X5,2001,2006,8.06,40x41x14 cm,48.55,31.56
SKU-070085,SKF Oil Filter,High quality Oil Filter for Mercedes Elantra,OEM-943489,SKF,Mercedes,Elantra,2000,2002,8.79,29x10x12 cm,374.31,211.74
SKU-070086,SKF Timing Belt,High quality Timing Belt for Ford Civic,OEM-622336,SKF,Ford,Civic,2002,2008,6.85,32x42x19 cm,38.93,28.71
SKU-070087,Bosch Radiator,High quality Radiator for Kia Civic,OEM-595826,Bosch,Kia,Civic,2014,2015,0.62,35x26x14 cm,461.04,253.67
SKU-070088,Valeo Air Filter,High quality Air Filter for Audi Corolla,OEM-763739,Valeo,Audi,Corolla,2007,2012,10.53,43x16x23 cm,49.73,35.52
SKU-070089,Bosch Spark Plug,High quality Spark Plug for BMW Camry,OEM-335999,Bosch,BMW,Camry,2001,2002,11.09,40x37x20 cm,189.14,135.44
SKU-070090,Delphi Air Filter,High quality Air Filter for Honda Focus,OEM-934851,Delphi,Honda,Focus,2008,2012,3.28,24x45x15 cm,438.74,315.16
SKU-070091,Mahle Clutch Kit,High quality Clutch Kit for Audi Sportage,OEM-795136,Mahle,Audi,Sportage,2013,2020,11.16,39x13x17 cm,492.18,368.04
SKU-070092,Febi Oil Filter,High quality Oil Filter for Kia X5,OEM-727615,Febi,Kia,X5,2006,2007,10.03,18x39x18 cm,369.29,224.43
SKU-070093,Mahle Fuel Pump,High quality Fuel Pump for Hyundai X5,OEM-671486,Mahle,Hyundai,X5,2000,2007,13.19,40x37x13 cm,171.93,93.49
SKU-070094,Valeo Alternator,High quality Alternator for Toyota C-Class,OEM-108306,Valeo,Toyota,C-Class,2012,2017,7.27,22x39x30 cm,319.17,229.83
SKU-070095,Febi Fuel Pump,High quality Fuel Pump for Ford Elantra,OEM-554458,Febi,Ford,Elantra,2010,2016,1.86,15x20x16 cm,493.09,313.98
SKU-070096,Febi Air Filter,High quality Air Filter for Toyota Camry,OEM-671178,Febi,Toyota,Camry,2016,2017,1.38,49x13x19 cm,284.32,181.45
SKU-070097,NGK Spark Plug,High quality Spark Plug for Toyota Civic,OEM-141242,NGK,Toyota,Civic,2014,2017,12.8,21x12x21 cm,373.94,208.74
SKU-070098,NGK Alternator,High quality Alternator for Toyota Civic,OEM-828230,NGK,Toyota,Civic,2012,2016,3.0,29x40x30 cm,214.4,137.44
SKU-070099,SKF Spark Plug,High quality Spark Plug for Hyundai Sportage,OEM-682421,SKF,Hyundai,Sportage,2015,2018,0.66,34x39x24 cm,208.15,121.14
