SKU,Name,Description,OEM Number,Brand,Compatible Make,Compatible Model,Year From,Year To,Weight,Dimensions,Unit Price,Cost Price
SKU-012000,Valeo Oil Filter,High quality Oil Filter for Audi A4,OEM-314626,Valeo,Audi,A4,2002,2008,6.53,39x24x18 cm,20.49,10.35
SKU-012001,NGK Air Filter,High quality Air Filter for Kia Civic,OEM-112332,NGK,Kia,Civic,2010,2012,12.5,48x50x9 cm,51.99,29.12
SKU-012002,Denso Oil Filter,High quality Oil Filter for Honda C-Class,OEM-833045,Denso,Honda,C-Class,2013,2015,13.95,15x17x7 cm,237.21,126.58
SKU-012003,Delphi Air Filter,High quality Air Filter for Honda Elantra,OEM-748627,Delphi,Honda,Elantra,2009,2010,6.46,29x10x8 cm,188.73,150.53
SKU-012004,Valeo Clutch Kit,High quality Clutch Kit for BMW Sportage,OEM-851768,Valeo,BMW,Sportage,2003,2004,4.2,17x16x14 cm,159.86,101.92
SKU-012005,Mahle Radiator,High quality Radiator for Kia Elantra,OEM-851258,Mahle,Kia,Elantra,2016,2021,8.09,20x27x15 cm,393.07,246.97
SKU-012006,Mahle Clutch Kit,High quality Clutch Kit for Toyota Civic,OEM-536999,Mahle,Toyota,Civic,2007,2012,14.69,42x23x16 cm,98.83,75.35
SKU-012007,Valeo Shock Absorber,High quality Shock Absorber for Audi C-Class,OEM-526792,Valeo,Audi,C-Class,2001,2005,1.95,38x48x17 cm,494.81,366.6
SKU-012008,NGK Oil Filter,High quality Oil Filter for Hyundai A4,OEM-554206,NGK,Hyundai,A4,2013,2016,6.81,40x17x30 cm,7.53,5.38
SKU-012009,SKF Spark Plug,High quality Spark Plug for Ford A4,OEM-441108,SKF,Ford,A4,2015,2019,3.05,39x32x19 cm,146.46,113.55
SKU-012010,Bosch Shock Absorber,High quality Shock Absorber for Toyota C-Class,OEM-918516,Bosch,Toyota,C-Class,2002,2005,14.91,28x38x7 cm,487.86,246.67
SKU-012011,Bosch Clutch Kit,High quality Clutch Kit for BMW Civic,OEM-918971,Bosch,BMW,Civic,2001,2002,1.35,22x24x10 cm,190.37,104.41
SKU-012012,Valeo Spark Plug,High quality Spark Plug for Kia X5,OEM-984888,Valeo,Kia,X5,2008,2011,7.08,41x14x7 cm,245.86,193.58
SKU-012013,Bosch Radiator,High quality Radiator for BMW A4,OEM-828772,Bosch,BMW,A4,2014,2018,9.91,45x36x11 cm,231.97,169.2
SKU-012014,Delphi Clutch Kit,High quality Clutch Kit for Kia Sportage,OEM-922483,Delphi,Kia,Sportage,2008,2012,2.96,22x48x13 cm,253.11,183.51
SKU-012015,SKF Shock Absorber,High quality Shock Absorber for Audi X5,OEM-938005,SKF,Audi,X5,2015,2017,0.23,43x15x21 cm,139.81,107.75
SKU-012016,Denso Brake Pad,High quality Brake Pad for BMW Focus,OEM-837587,Denso,BMW,Focus,2003,2004,2.59,17x15x15 cm,146.08,100.82
SKU-012017,Valeo Brake Pad,High quality Brake Pad for Hyundai Focus,OEM-537717,Valeo,Hyundai,Focus,2015,2019,6.81,46x18x18 cm,487.89,375.76
SKU-012018,Mahle Oil Filter,High quality Oil Filter for BMW Camry,OEM-938207,Mahle,BMW,Camry,2006,2008,5.68,13x10x16 cm,432.17,231.08
SKU-012019,Febi Alternator,High quality Alternator for Toyota C-Class,OEM-857438,Febi,Toyota,C-Class,2016,2020,0.11,11x29x6 cm,453.0,228.82
SKU-012020,Bosch Shock Absorber,High quality Shock Absorber for Toyota A4,OEM-529408,Bosch,Toyota,A4,2014,2017,9.64,44x27x5 cm,248.52,162.75
SKU-012021,Denso Brake Pad,High quality Brake Pad for Kia Civic,OEM-811636,Denso,Kia,Civic,2013,2018,13.9,31x20x30 cm,202.07,155.88
SKU-012022,Delphi Oil Filter,High quality Oil Filter for Hyundai Elantra,OEM-497642,Delphi,Hyundai,Elantra,2000,2001,10.15,26x12x29 cm,418.87,324.7
SKU-012023,Mahle Spark Plug,High quality Spark Plug for Hyundai C-Class,OEM-559540,Mahle,Hyundai,C-Class,2002,2005,5.7,26x32x24 cm,275.36,168.9
SKU-012024,NGK Shock Absorber,High quality Shock Absorber for Honda C-Class,OEM-406856,NGK,Honda,C-Class,2010,2017,1.09,14x20x16 cm,373.28,228.6
SKU-012025,Mahle Air Filter,High quality Air Filter for Audi C-Class,OEM-568035,Mahle,Audi,C-Class,2016,2022,0.53,45x28x9 cm,302.14,193.88
SKU-012026,Febi Shock Absorber,High quality Shock Absorber for Audi Camry,OEM-123014,Febi,Audi,Camry,2011,2014,3.32,49x12x8 cm,171.54,116.83
SKU-012027,NGK Spark Plug,High quality Spark Plug for Ford Civic,OEM-698873,NGK,Ford,Civic,2006,2011,2.49,20x22x9 cm,340.45,247.5
SKU-012028,Denso Alternator,High quality Alternator for Honda Camry,OEM-243121,Denso,Honda,Camry,2018,2022,7.2,22x33x11 cm,197.99,136.85
SKU-012029,Febi Clutch Kit,High quality Clutch Kit for Audi Civic,OEM-714275,Febi,Audi,Civic,2008,2015,11.56,21x27x24 cm,162.66,110.41
SKU-012030,Denso Air Filter,High quality Air Filter for Kia X5,OEM-854089,Denso,Kia,X5,2010,2013,13.98,18x49x17 cm,343.15,178.88
SKU-012031,Mahle Alternator,High quality Alternator for Audi C-Class,OEM-898591,Mahle,Audi,C-Class,2018,2022,6.21,26x10x19 cm,142.68,103.11
SKU-012032,Denso Shock Absorber,High quality Shock Absorber for Kia Civic,OEM-465170,Denso,Kia,Civic,2008,2009,2.89,42x24x22 cm,395.56,207.56
SKU-012033,Mahle Clutch Kit,High quality Clutch Kit for Honda Civic,OEM-474612,Mahle,Honda,Civic,2007,2009,4.73,19x21x7 cm,228.14,179.42
SKU-012034,Valeo Clutch Kit,High quality Clutch Kit for Hyundai Focus,OEM-233624,Valeo,Hyundai,Focus,2013,2018,3.44,19x20x10 cm,204.64,157.87
SKU-012035,Mahle Oil Filter,High quality Oil Filter for Kia Corolla,OEM-823223,Mahle,Kia,Corolla,2007,2009,9.45,46x38x7 cm,326.4,219.72
