SKU,Name,Description,OEM Number,Brand,Compatible Make,Compatible Model,Year From,Year To,Weight,Dimensions,Unit Price,Cost Price
SKU-020000,NGK Timing Belt,High quality Timing Belt for Kia Civic,OEM-432233,NGK,Kia,Civic,2012,2014,12.6,22x21x12 cm,293.52,148.35
SKU-020001,Valeo Oil Filter,High quality Oil Filter for Toyota Sportage,OEM-899897,Valeo,Toyota,Sportage,2003,2007,13.96,15x25x18 cm,338.5,207.9
SKU-020002,SKF Shock Absorber,High quality Shock Absorber for Hyundai A4,OEM-625705,SKF,Hyundai,A4,2013,2018,8.14,45x14x18 cm,264.49,150.5
SKU-020003,Bosch Clutch Kit,High quality Clutch Kit for Mercedes Corolla,OEM-232518,Bosch,Mercedes,Corolla,2018,2019,1.67,35x12x24 cm,252.06,132.77
SKU-020004,Bosch Alternator,High quality Alternator for Audi Sportage,OEM-511172,Bosch,Audi,Sportage,2009,2014,2.9,15x33x27 cm,437.46,282.26
SKU-020005,Valeo Brake Pad,High quality Brake Pad for Mercedes Focus,OEM-880631,Valeo,Mercedes,Focus,2016,2017,1.9,12x24x27 cm,389.02,250.28
SKU-020006,SKF Radiator,High quality Radiator for Hyundai Elantra,OEM-824085,SKF,Hyundai,Elantra,2013,2016,10.1,25x18x5 cm,44.23,27.71
SKU-020007,Febi Shock Absorber,High quality Shock Absorber for BMW Focus,OEM-120631,Febi,BMW,Focus,2014,2018,8.74,19x21x19 cm,241.82,153.11
SKU-020008,Mahle Timing Belt,High quality Timing Belt for Hyundai Corolla,OEM-738702,Mahle,Hyundai,Corolla,2004,2005,14.22,33x11x21 cm,80.38,44.38
SKU-020009,Febi Clutch Kit,High quality Clutch Kit for Hyundai Corolla,OEM-573081,Febi,Hyundai,Corolla,2012,2016,9.33,18x45x6 cm,491.76,385.55
SKU-020010,Mahle Radiator,High quality Radiator for Mercedes X5,OEM-352578,Mahle,Mercedes,X5,2011,2014,6.19,38x45x25 cm,184.95,104.88
SKU-020011,Mahle Alternator,High quality Alternator for Honda A4,OEM-802810,Mahle,Honda,A4,2004,2006,12.14,16x38x23 cm,426.15,279.39
SKU-020012,SKF Oil Filter,High quality Oil Filter for Mercedes Corolla,OEM-439910,SKF,Mercedes,Corolla,2015,2020,7.53,43x13x18 cm,56.65,30.38
SKU-020013,Denso Timing Belt,High quality Timing Belt for Ford Sportage,OEM-907171,Denso,Ford,Sportage,2006,2008,11.77,29x36x30 cm,143.45,94.7
SKU-020014,Denso Radiator,High quality Radiator for Audi C-Class,OEM-631632,Denso,Audi,C-Class,2001,2002,10.69,11x34x22 cm,338.93,257.24
SKU-020015,Denso Alternator,High quality Alternator for Toyota X5,OEM-491657,Denso,Toyota,X5,2000,2004,5.58,21x13x6 cm,29.7,22.31
SKU-020016,SKF Air Filter,High quality Air Filter for Audi Focus,OEM-112380,SKF,Audi,Focus,2003,2008,6.0,37x20x25 cm,360.57,266.01
SKU-020017,Valeo Alternator,High quality Alternator for Audi Civic,OEM-923690,Valeo,Audi,Civic,2006,2009,1.4,49x45x12 cm,23.0,13.8
SKU-020018,Bosch Air Filter,High quality Air Filter for Ford Sportage,OEM-454642,Bosch,Ford,Sportage,2008,2013,3.19,41x47x26 cm,5.19,3.91
SKU-020019,Denso Brake Pad,High quality Brake Pad for BMW X5,OEM-772433,Denso,BMW,X5,2004,2007,12.18,36x16x22 cm,325.9,182.02
SKU-020020,SKF Alternator,High quality Alternator for Honda A4,OEM-376020,SKF,Honda,A4,2016,2019,13.52,10x42x10 cm,331.84,213.33
SKU-020021,NGK Brake Pad,High quality Brake Pad for Honda Camry,OEM-652713,NGK,Honda,Camry,2003,2009,10.95,31x38x24 cm,321.82,238.29
SKU-020022,NGK Spark Plug,High quality Spark Plug for BMW C-Class,OEM-652559,NGK,BMW,C-Class,2012,2016,8.62,15x40x24 cm,285.58,212.6
SKU-020023,Mahle Radiator,High quality Radiator for Hyundai Corolla,OEM-811378,Mahle,Hyundai,Corolla,2012,2017,4.77,27x46x16 cm,270.9,181.13
SKU-020024,Bosch Radiator,High quality Radiator for Kia A4,OEM-328747,Bosch,Kia,A4,2009,2012,7.06,34x42x29 cm,251.22,150.58
SKU-020025,Mahle Alternator,High quality Alternator for BMW Camry,OEM-928878,Mahle,BMW,Camry,2006,2008,1.59,50x23x9 cm,224.05,112.91
SKU-020026,NGK Shock Absorber,High quality Shock Absorber for BMW Corolla,OEM-136049,NGK,BMW,Corolla,2017,2023,10.47,35x45x30 cm,417.19,300.2
SKU-020027,NGK Fuel Pump,High quality Fuel Pump for Audi Camry,OEM-833465,NGK,Audi,Camry,2008,2014,10.79,46x37x19 cm,482.33,353.88
SKU-020028,Delphi Air Filter,High quality Air Filter for Kia X5,OEM-104957,Delphi,Kia,X5,2016,2023,11.33,39x23x11 cm,349.17,189.51
SKU-020029,Febi Oil Filter,High quality Oil Filter for Honda X5,OEM-718346,Febi,Honda,X5,2012,2015,1.37,32x21x23 cm,490.48,355.25
SKU-020030,SKF Oil Filter,High quality Oil Filter for BMW C-Class,OEM-526843,SKF,BMW,C-Class,2006,2008,14.13,13x48x21 cm,458.5,292.44
SKU-020031,SKF Radiator,High quality Radiator for Ford Sportage,OEM-386533,SKF,Ford,Sportage,2011,2016,9.08,49x10x13 cm,180.59,97.53
SKU-020032,NGK Alternator,High quality Alternator for Ford X5,OEM-277242,NGK,Ford,X5,2000,2001,9.05,49x34x9 cm,176.93,101.72
SKU-020033,Febi Radiator,High quality Radiator for Audi Civic,OEM-235419,Febi,Audi,Civic,2009,2012,7.09,48x31x21 cm,285.71,200.42
SKU-020034,Delphi Clutch Kit,High quality Clutch Kit for Ford A4,OEM-895360,Delphi,Ford,A4,2014,2018,10.22,37x12x26 cm,474.51,265.72
