SKU,Name,Description,OEM Number,Brand,Compatible Make,Compatible Model,Year From,Year To,Weight,Dimensions,Unit Price,Cost Price
SKU-076000,Febi Alternator,High quality Alternator for Ford Corolla,OEM-888576,Febi,Ford,Corolla,2000,2004,9.2,23x19x23 cm,257.13,151.47
SKU-076001,Denso Radiator,High quality Radiator for Toyota Sportage,OEM-294273,Denso,Toyota,Sportage,2013,2018,10.0,15x18x10 cm,102.53,81.48
SKU-076002,NGK Clutch Kit,High quality Clutch Kit for Toyota A4,OEM-620393,NGK,Toyota,A4,2010,2016,4.54,46x40x14 cm,75.94,39.91
SKU-076003,NGK Alternator,High quality Alternator for Kia C-Class,OEM-306684,NGK,Kia,C-Class,2011,2014,4.38,30x15x23 cm,7.76,4.45
SKU-076004,Febi Brake Pad,High quality Brake Pad for Kia Sportage,OEM-106250,Febi,Kia,Sportage,2012,2018,10.65,46x34x10 cm,172.8,92.4
SKU-076005,SKF Air Filter,High quality Air Filter for Mercedes Focus,OEM-744243,SKF,Mercedes,Focus,2016,2021,2.91,21x45x8 cm,367.06,286.89
SKU-076006,Bosch Radiator,High quality Radiator for Ford A4,OEM-194981,Bosch,Ford,A4,2000,2004,0.59,27x14x23 cm,148.89,97.54
SKU-076007,Bosch Brake Pad,High quality Brake Pad for Ford Sportage,OEM-158627,Bosch,Ford,Sportage,2002,2008,0.33,40x16x5 cm,329.82,222.68
SKU-076008,Febi Fuel Pump,High quality Fuel Pump for Toyota Civic,OEM-172921,Febi,Toyota,Civic,2002,2003,12.53,24x48x10 cm,50.4,34.68
SKU-076009,Mahle Alternator,High quality Alternator for Honda Corolla,OEM-389168,Mahle,Honda,Corolla,2015,2016,7.46,37x38x16 cm,106.48,73.72
SKU-076010,Delphi Radiator,High quality Radiator for Mercedes Corolla,OEM-326904,Delphi,Mercedes,Corolla,2015,2019,0.98,41x46x19 cm,262.55,209.57
SKU-076011,Denso Fuel Pump,High quality Fuel Pump for Toyota C-Class,OEM-368505,Denso,Toyota,C-Class,2017,2024,1.22,34x45x11 cm,145.92,102.26
SKU-076012,Febi Air Filter,High quality Air Filter for Honda C-Class,OEM-101907,Febi,Honda,C-Class,2006,2011,10.81,47x24x22 cm,423.1,226.54
SKU-076013,SKF Clutch Kit,High quality Clutch Kit for Audi Camry,OEM-627321,SKF,Audi,Camry,2011,2014,5.32,33x25x19 cm,376.09,197.6
SKU-076014,Valeo Fuel Pump,High quality Fuel Pump for Ford Focus,OEM-129923,Valeo,Ford,Focus,2003,2008,5.44,39x39x30 cm,197.92,109.27
SKU-076015,Bosch Brake Pad,High quality Brake Pad for Mercedes Elantra,OEM-106638,Bosch,Mercedes,Elantra,2007,2013,8.69,23x32x18 cm,129.3,80.02
SKU-076016,NGK Shock Absorber,High quality Shock Absorber for Mercedes Elantra,OEM-851436,NGK,Mercedes,Elantra,2001,2002,2.47,50x37x17 cm,141.56,91.09
SKU-076017,Mahle Clutch Kit,High quality Clutch Kit for Honda C-Class,OEM-809194,Mahle,Honda,C-Class,2013,2017,4.05,40x16x7 cm,398.01,283.05
SKU-076018,Delphi Brake Pad,High quality Brake Pad for Audi Sportage,OEM-211028,Delphi,Audi,Sportage,2005,2007,8.52,32x40x24 cm,121.7,81.44
SKU-076019,Delphi Timing Belt,High quality Timing Belt for Audi Corolla,OEM-767243,Delphi,Audi,Corolla,2013,2016,9.18,38x44x16 cm,12.46,8.95
SKU-076020,Denso Brake Pad,High quality Brake Pad for Mercedes C-Class,OEM-279532,Denso,Mercedes,C-Class,2004,2007,4.01,12x28x18 cm,294.05,214.69
SKU-076021,Mahle Brake Pad,High quality Brake Pad for Toyota Focus,OEM-658337,Mahle,Toyota,Focus,2018,2025,7.76,39x28x6 cm,159.36,127.15
SKU-076022,Valeo Timing Belt,High quality Timing Belt for BMW Focus,OEM-286888,Valeo,BMW,Focus,2007,2011,6.87,35x26x19 cm,266.73,178.4
SKU-076023,Febi Shock Absorber,High quality Shock Absorber for Audi Sportage,OEM-288923,Febi,Audi,Sportage,2018,2021,8.32,33x14x26 cm,350.25,199.7
