SKU,Name,Description,OEM Number,Brand,Compatible Make,Compatible Model,Year From,Year To,Weight,Dimensions,Unit Price,Cost Price
SKU-004000,Mahle Shock Absorber,High quality Shock Absorber for Kia X5,OEM-257296,Mahle,Kia,X5,2016,2020,12.97,34x47x29 cm,244.62,180.32
SKU-004001,NGK Fuel Pump,High quality Fuel Pump for Hyundai Camry,OEM-604225,NGK,Hyundai,Camry,2009,2016,6.95,10x19x9 cm,283.28,188.28
SKU-004002,SKF Radiator,High quality Radiator for Mercedes Corolla,OEM-373764,SKF,Mercedes,Corolla,2015,2020,4.13,36x25x20 cm,27.12,21.24
SKU-004003,Mahle Spark Plug,High quality Spark Plug for Toyota X5,OEM-595380,Mahle,Toyota,X5,2011,2016,2.03,17x37x10 cm,154.63,107.85
SKU-004004,SKF Radiator,High quality Radiator for Honda X5,OEM-514499,SKF,Honda,X5,2005,2011,13.63,27x42x23 cm,210.0,155.44
SKU-004005,Bosch Clutch Kit,High quality Clutch Kit for BMW Camry,OEM-242983,Bosch,BMW,Camry,2000,2002,7.74,29x20x5 cm,60.11,32.98
SKU-004006,Valeo Clutch Kit,High quality Clutch Kit for Toyota A4,OEM-807065,Valeo,Toyota,A4,2001,2002,6.09,16x18x16 cm,35.99,23.76
SKU-004007,Valeo Fuel Pump,High quality Fuel Pump for Audi X5,OEM-561948,Valeo,Audi,X5,2017,2024,8.16,50x20x30 cm,43.92,28.95
SKU-004008,NGK Radiator,High quality Radiator for Mercedes X5,OEM-315197,NGK,Mercedes,X5,2012,2018,7.54,24x10x6 cm,254.18,182.72
SKU-004009,Bosch Shock Absorber,High quality Shock Absorber for Ford Sportage,OEM-805333,Bosch,Ford,Sportage,2014,2016,1.31,44x50x23 cm,163.36,92.43
SKU-004010,Valeo Fuel Pump,High quality Fuel Pump for Honda Civic,OEM-981553,Valeo,Honda,Civic,2011,2013,14.71,12x42x18 cm,224.91,119.96
SKU-004011,NGK Radiator,High quality Radiator for Ford Elantra,OEM-813270,NGK,Ford,Elantra,2001,2002,3.37,35x37x27 cm,117.35,60.82
SKU-004012,SKF Spark Plug,High quality Spark Plug for Honda Elantra,OEM-191966,SKF,Honda,Elantra,2006,2010,11.7,46x13x25 cm,28.77,22.96
SKU-004013,Denso Brake Pad,High quality Brake Pad for Hyundai Focus,OEM-907031,Denso,Hyundai,Focus,2016,2022,5.44,49x26x20 cm,286.31,181.58
SKU-004014,Mahle Brake Pad,High quality Brake Pad for Kia Elantra,OEM-246837,Mahle,Kia,Elantra,2013,2015,5.58,13x15x14 cm,488.79,276.06
SKU-004015,Delphi Fuel Pump,High quality Fuel Pump for Kia Focus,OEM-609476,Delphi,Kia,Focus,2001,2007,1.4,31x45x19 cm,343.14,193.71
SKU-004016,SKF Clutch Kit,High quality Clutch Kit for Honda Sportage,OEM-932537,SKF,Honda,Sportage,2011,2017,14.59,27x23x17 cm,423.13,281.22
SKU-004017,SKF Oil Filter,High quality Oil Filter for BMW Sportage,OEM-419694,SKF,BMW,Sportage,2015,2022,0.96,16x41x6 cm,298.1,232.08
SKU-004018,Bosch Oil Filter,High quality Oil Filter for Kia Elantra,OEM-228395,Bosch,Kia,Elantra,2000,2004,7.19,15x29x12 cm,486.3,272.08
SKU-004019,Bosch Timing Belt,High quality Timing Belt for Toyota Focus,OEM-640870,Bosch,Toyota,Focus,2002,2003,5.42,40x23x15 cm,100.59,78.71
SKU-004020,Delphi Brake Pad,High quality Brake Pad for Toyota Elantra,OEM-954564,Delphi,Toyota,Elantra,2001,2008,4.14,37x32x15 cm,404.01,232.96
SKU-004021,Valeo Air Filter,High quality Air Filter for Hyundai Civic,OEM-421080,Valeo,Hyundai,Civic,2013,2017,6.93,27x36x17 cm,245.26,175.73
SKU-004022,Bosch Clutch Kit,High quality Clutch Kit for Ford Focus,OEM-807709,Bosch,Ford,Focus,2010,2015,3.09,14x26x22 cm,481.33,319.15
SKU-004023,Denso Shock Absorber,High quality Shock Absorber for Honda Civic,OEM-643108,Denso,Honda,Civic,2014,2015,8.48,38x49x19 cm,339.7,204.65
SKU-004024,Valeo Timing Belt,High quality Timing Belt for Hyundai C-Class,OEM-478909,Valeo,Hyundai,C-Class,2003,2007,8.27,35x42x17 cm,143.17,96.62
SKU-004025,Mahle Brake Pad,High quality Brake Pad for Mercedes Camry,OEM-616199,Mahle,Mercedes,Camry,2017,2023,13.95,31x25x19 cm,163.54,88.66
SKU-004026,Denso Timing Belt,High quality Timing Belt for Mercedes A4,OEM-117708,Denso,Mercedes,A4,2000,2003,4.05,37x40x16 cm,378.57,192.32
SKU-004027,Delphi Fuel Pump,High quality Fuel Pump for Audi Focus,OEM-154222,Delphi,Audi,Focus,2016,2017,11.51,45x29x19 cm,99.55,73.26
SKU-004028,Delphi Clutch Kit,High quality Clutch Kit for BMW Focus,OEM-548013,Delphi,BMW,Focus,2000,2006,7.92,25x34x9 cm,486.41,245.94
SKU-004029,NGK Radiator,High quality Radiator for Audi Civic,OEM-811983,NGK,Audi,Civic,2016,2020,2.57,16x39x17 cm,358.64,227.36
SKU-004030,Bosch Spark Plug,High quality Spark Plug for Honda X5,OEM-347230,Bosch,Honda,X5,2001,2002,13.1,26x20x25 cm,48.46,27.21
SKU-004031,Denso Clutch Kit,High quality Clutch Kit for BMW Focus,OEM-982494,Denso,BMW,Focus,2018,2023,13.67,24x18x21 cm,165.5,97.19
SKU-004032,Bosch Fuel Pump,High quality Fuel Pump for Mercedes Civic,OEM-351463,Bosch,Mercedes,Civic,2008,2015,11.06,47x48x24 cm,255.36,181.72
SKU-004033,Bosch Radiator,High quality Radiator for BMW C-Class,OEM-294832,Bosch,BMW,C-Class,2007,2009,9.83,42x43x21 cm,343.73,262.65
