SKU,Name,Description,OEM Number,Brand,Compatible Make,Compatible Model,Year From,Year To,Weight,Dimensions,Unit Price,Cost Price
SKU-078000,Delphi Radiator,High quality Radiator for Ford Camry,OEM-284056,Delphi,Ford,Camry,2008,2013,7.55,27x36x6 cm,432.42,297.84
SKU-078001,Febi Air Filter,High quality Air Filter for BMW Focus,OEM-432664,Febi,BMW,Focus,2000,2006,9.17,39x28x29 cm,478.09,288.56
SKU-078002,Denso Spark Plug,High quality Spark Plug for Ford A4,OEM-361690,Denso,Ford,A4,2004,2010,13.2,44x12x28 cm,147.09,98.54
SKU-078003,Valeo Spark Plug,High quality Spark Plug for Hyundai Elantra,OEM-941965,Valeo,Hyundai,Elantra,2016,2017,6.87,19x43x23 cm,214.99,155.7
SKU-078004,NGK Timing Belt,High quality Timing Belt for BMW Focus,OEM-563553,NGK,BMW,Focus,2004,2008,3.77,35x35x17 cm,375.82,212.35
SKU-078005,Mahle Oil Filter,High quality Oil Filter for Toyota Civic,OEM-741893,Mahle,Toyota,Civic,2016,2019,5.46,23x35x13 cm,241.96,182.86
SKU-078006,Denso Shock Absorber,High quality Shock Absorber for BMW Focus,OEM-892257,Denso,BMW,Focus,2007,2014,14.36,32x20x27 cm,319.06,249.84
SKU-078007,SKF Oil Filter,High quality Oil Filter for Audi C-Class,OEM-542556,SKF,Audi,C-Class,2012,2016,4.52,38x27x6 cm,442.51,343.66
SKU-078008,Febi Alternator,High quality Alternator for Honda A4,OEM-529224,Febi,Honda,A4,2003,2004,11.3,11x15x17 cm,176.35,120.89
SKU-078009,SKF Shock Absorber,High quality Shock Absorber for Ford Elantra,OEM-983484,SKF,Ford,Elantra,2000,2007,8.19,27x36x7 cm,403.41,308.92
SKU-078010,Mahle Spark Plug,High quality Spark Plug for Audi C-Class,OEM-545294,Mahle,Audi,C-Class,2006,2008,12.96,35x29x19 cm,298.97,225.5
SKU-078011,NGK Shock Absorber,High quality Shock Absorber for Kia A4,OEM-240523,NGK,Kia,A4,2018,2021,0.49,18x38x15 cm,44.68,26.06
SKU-078012,SKF Timing Belt,High quality Timing Belt for Audi A4,OEM-540002,SKF,Audi,A4,2000,2005,6.99,49x22x24 cm,196.25,113.12
SKU-078013,Bosch Alternator,High quality Alternator for Audi C-Class,OEM-704226,Bosch,Audi,C-Class,2017,2021,10.45,14x50x25 cm,49.48,38.2
SKU-078014,SKF Shock Absorber,High quality Shock Absorber for Kia Focus,OEM-109516,SKF,Kia,Focus,2008,2015,4.41,29x24x15 cm,7.71,4.35
