SKU,Name,Description,OEM Number,Brand,Compatible Make,Compatible Model,Year From,Year To,Weight,Dimensions,Unit Price,Cost Price
SKU-082000,Mahle Fuel Pump,High quality Fuel Pump for Mercedes Sportage,OEM-834709,Mahle,Mercedes,Sportage,2014,2020,7.3,27x34x19 cm,410.23,237.05
SKU-082001,Valeo Brake Pad,High quality Brake Pad for Audi X5,OEM-983537,Valeo,Audi,X5,2018,2021,14.98,26x23x27 cm,135.8,73.65
SKU-082002,Denso Alternator,High quality Alternator for BMW Civic,OEM-319718,Denso,BMW,Civic,2001,2004,8.96,21x29x14 cm,255.09,194.41
SKU-082003,Denso Shock Absorber,High quality Shock Absorber for Toyota A4,OEM-543316,Denso,Toyota,A4,2015,2020,13.73,39x11x16 cm,19.49,10.06
SKU-082004,Denso Clutch Kit,High quality Clutch Kit for Toyota Civic,OEM-356069,Denso,Toyota,Civic,2002,2005,7.8,47x46x20 cm,396.84,302.41
SKU-082005,NGK Brake Pad,High quality Brake Pad for Toyota X5,OEM-184836,NGK,Toyota,X5,2007,2014,9.13,30x33x19 cm,355.61,216.0
SKU-082006,Denso Clutch Kit,High quality Clutch Kit for BMW Focus,OEM-980565,Denso,BMW,Focus,2002,2006,12.76,36x11x16 cm,327.02,219.92
SKU-082007,NGK Timing Belt,High quality Timing Belt for Toyota Camry,OEM-329763,NGK,Toyota,Camry,2001,2008,3.45,38x49x10 cm,126.95,77.64
SKU-082008,Bosch Clutch Kit,High quality Clutch Kit for Toyota Camry,OEM-243081,Bosch,Toyota,Camry,2009,2013,10.36,42x19x30 cm,310.71,219.07
SKU-082009,NGK Spark Plug,High quality Spark Plug for Toyota A4,OEM-975776,NGK,Toyota,A4,2010,2012,10.93,30x35x7 cm,202.41,106.88
SKU-082010,Denso Timing Belt,High quality Timing Belt for Hyundai Elantra,OEM-545003,Denso,Hyundai,Elantra,2004,2011,3.59,42x44x20 cm,155.46,94.25
SKU-082011,SKF Shock Absorber,High quality Shock Absorber for Audi Corolla,OEM-837914,SKF,Audi,Corolla,2015,2019,14.67,19x47x12 cm,80.44,62.43
