SKU,Name,Description,OEM Number,Brand,Compatible Make,Compatible Model,Year From,Year To,Weight,Dimensions,Unit Price,Cost Price
SKU-022000,Valeo Brake Pad,High quality Brake Pad for Honda Corolla,OEM-316823,Valeo,Honda,Corolla,2008,2012,5.45,28x46x21 cm,367.12,247.96
SKU-022001,Delphi Radiator,High quality Radiator for BMW Civic,OEM-103589,Delphi,BMW,Civic,2012,2018,2.57,24x44x30 cm,311.54,196.29
SKU-022002,Valeo Fuel Pump,High quality Fuel Pump for Audi Camry,OEM-919441,Valeo,Audi,Camry,2003,2004,0.21,25x41x6 cm,360.85,186.48
SKU-022003,NGK Brake Pad,High quality Brake Pad for Ford X5,OEM-769870,NGK,Ford,X5,2009,2016,14.23,29x16x13 cm,38.82,20.89
SKU-022004,SKF Shock Absorber,High quality Shock Absorber for BMW Elantra,OEM-251569,SKF,BMW,Elantra,2000,2006,3.15,43x34x27 cm,443.24,255.12
SKU-022005,Delphi Air Filter,High quality Air Filter for Audi Civic,OEM-619442,Delphi,Audi,Civic,2009,2010,8.43,14x48x23 cm,422.1,325.91
SKU-022006,SKF Air Filter,High quality Air Filter for Honda Camry,OEM-208935,SKF,Honda,Camry,2008,2013,11.83,12x10x30 cm,213.21,161.37
SKU-022007,Denso Radiator,High quality Radiator for Ford Sportage,OEM-138766,Denso,Ford,Sportage,2007,2012,5.79,46x34x8 cm,78.18,39.61
SKU-022008,Valeo Clutch Kit,High quality Clutch Kit for Honda Civic,OEM-492135,Valeo,Honda,Civic,2006,2007,10.75,15x43x6 cm,156.76,105.33
SKU-022009,Denso Air Filter,High quality Air Filter for Ford Sportage,OEM-531762,Denso,Ford,Sportage,2004,2009,8.45,19x10x6 cm,42.45,25.26
SKU-022010,Mahle Fuel Pump,High quality Fuel Pump for Honda Civic,OEM-116978,Mahle,Honda,Civic,2014,2019,6.48,12x24x22 cm,449.28,286.95
SKU-022011,Febi Brake Pad,High quality Brake Pad for Hyundai Corolla,OEM-975905,Febi,Hyundai,Corolla,2015,2022,6.05,14x20x25 cm,104.84,73.75
SKU-022012,Mahle Brake Pad,High quality Brake Pad for Kia Elantra,OEM-394460,Mahle,Kia,Elantra,2018,2025,8.54,14x38x19 cm,439.95,323.52
SKU-022013,Denso Spark Plug,High quality Spark Plug for Toyota A4,OEM-583510,Denso,Toyota,A4,2005,2008,11.27,29x40x25 cm,423.04,333.76
SKU-022014,SKF Radiator,High quality Radiator for Honda Corolla,OEM-380818,SKF,Honda,Corolla,2004,2008,13.94,34x37x23 cm,116.37,63.0
SKU-022015,Denso Clutch Kit,High quality Clutch Kit for Mercedes X5,OEM-856381,Denso,Mercedes,X5,2012,2014,5.66,23x13x9 cm,168.19,104.92
SKU-022016,Denso Spark Plug,High quality Spark Plug for Hyundai Sportage,OEM-409944,Denso,Hyundai,Sportage,2000,2007,7.01,24x27x8 cm,20.64,12.87
SKU-022017,Febi Alternator,High quality Alternator for Honda Elantra,OEM-320435,Febi,Honda,Elantra,2004,2008,7.18,35x21x12 cm,290.65,224.78
SKU-022018,Denso Oil Filter,High quality Oil Filter for BMW Focus,OEM-819268,Denso,BMW,Focus,2013,2015,3.75,20x34x11 cm,288.0,213.33
SKU-022019,Febi Brake Pad,High quality Brake Pad for Kia Corolla,OEM-394259,Febi,Kia,Corolla,2018,2019,13.36,19x49x9 cm,31.51,21.18
SKU-022020,Bosch Timing Belt,High quality Timing Belt for Audi Corolla,OEM-382208,Bosch,Audi,Corolla,2002,2004,2.25,29x46x20 cm,229.47,122.28
SKU-022021,Valeo Radiator,High quality Radiator for Mercedes Sportage,OEM-339320,Valeo,Mercedes,Sportage,2014,2017,0.34,18x34x24 cm,8.0,5.41
SKU-022022,SKF Clutch Kit,High quality Clutch Kit for Ford C-Class,OEM-441208,SKF,Ford,C-Class,2008,2011,1.34,10x47x7 cm,16.19,9.75
SKU-022023,Delphi Timing Belt,High quality Timing Belt for Ford Camry,OEM-663680,Delphi,Ford,Camry,2003,2005,11.02,23x25x14 cm,125.83,84.37
SKU-022024,Denso Shock Absorber,High quality Shock Absorber for Kia Civic,OEM-231017,Denso,Kia,Civic,2018,2024,1.25,30x29x26 cm,296.16,165.11
SKU-022025,Bosch Clutch Kit,High quality Clutch Kit for BMW Corolla,OEM-195671,Bosch,BMW,Corolla,2002,2005,8.47,26x30x29 cm,172.03,88.42
SKU-022026,Bosch Air Filter,High quality Air Filter for Toyota Sportage,OEM-347440,Bosch,Toyota,Sportage,2005,2012,3.43,34x17x10 cm,473.46,292.64
SKU-022027,Valeo Alternator,High quality Alternator for Toyota A4,OEM-252844,Valeo,Toyota,A4,2007,2012,12.53,17x16x16 cm,152.79,114.78
SKU-022028,Delphi Air Filter,High quality Air Filter for Audi Civic,OEM-848532,Delphi,Audi,Civic,2016,2023,10.34,17x50x6 cm,162.19,123.05
SKU-022029,NGK Air Filter,High quality Air Filter for Toyota Focus,OEM-239746,NGK,Toyota,Focus,2006,2011,7.2,22x47x22 cm,97.87,71.92
SKU-022030,Bosch Fuel Pump,High quality Fuel Pump for BMW Sportage,OEM-333001,Bosch,BMW,Sportage,2010,2011,5.7,46x47x5 cm,448.72,298.63
SKU-022031,Valeo Air Filter,High quality Air Filter for Kia Focus,OEM-397601,Valeo,Kia,Focus,2010,2012,6.68,17x46x11 cm,407.44,264.81
SKU-022032,SKF Oil Filter,High quality Oil Filter for Hyundai X5,OEM-913580,SKF,Hyundai,X5,2000,2006,12.39,39x40x9 cm,27.54,14.92
SKU-022033,Mahle Air Filter,High quality Air Filter for Mercedes Elantra,OEM-521181,Mahle,Mercedes,Elantra,2015,2017,12.43,29x32x26 cm,320.04,209.13
SKU-022034,Denso Alternator,High quality Alternator for Kia Sportage,OEM-733714,Denso,Kia,Sportage,2000,2006,6.9,28x30x7 cm,22.34,11.88
SKU-022035,Denso Spark Plug,High quality Spark Plug for Honda Focus,OEM-682454,Denso,Honda,Focus,2010,2012,13.61,43x16x13 cm,94.97,56.18
SKU-022036,SKF Brake Pad,High quality Brake Pad for Kia A4,OEM-984258,SKF,Kia,A4,2014,2018,4.35,21x42x28 cm,458.34,284.95
SKU-022037,Denso Air Filter,High quality Air Filter for Honda X5,OEM-718943,Denso,Honda,X5,2005,2006,6.42,41x24x10 cm,385.47,302.81
SKU-022038,Delphi Air Filter,High quality Air Filter for Hyundai C-Class,OEM-777397,Delphi,Hyundai,C-Class,2016,2017,10.53,48x44x6 cm,6.74,5.3
SKU-022039,Bosch Air Filter,High quality Air Filter for Hyundai Focus,OEM-320968,Bosch,Hyundai,Focus,2015,2016,5.35,15x11x19 cm,391.94,198.45
SKU-022040,Denso Alternator,High quality Alternator for Kia Corolla,OEM-846327,Denso,Kia,Corolla,2002,2004,12.28,20x26x17 cm,165.61,100.01
SKU-022041,SKF Shock Absorber,High quality Shock Absorber for Hyundai Elantra,OEM-528861,SKF,Hyundai,Elantra,2017,2019,3.01,48x10x14 cm,312.53,193.92
SKU-022042,Valeo Air Filter,High quality Air Filter for Audi Corolla,OEM-471267,Valeo,Audi,Corolla,2015,2017,11.3,26x42x25 cm,426.86,237.51
SKU-022043,Denso Fuel Pump,High quality Fuel Pump for BMW Sportage,OEM-440870,Denso,BMW,Sportage,2002,2005,6.51,11x17x15 cm,39.32,22.72
SKU-022044,SKF Alternator,High quality Alternator for Kia Focus,OEM-400412,SKF,Kia,Focus,2011,2014,1.69,23x29x8 cm,187.77,149.18
SKU-022045,Valeo Brake Pad,High quality Brake Pad for Ford X5,OEM-455338,Valeo,Ford,X5,2004,2010,3.76,13x36x29 cm,495.47,357.78
SKU-022046,Bosch Clutch Kit,High quality Clutch Kit for Ford X5,OEM-366809,Bosch,Ford,X5,2012,2014,11.94,11x45x23 cm,80.94,55.35
SKU-022047,SKF Brake Pad,High quality Brake Pad for BMW X5,OEM-511648,SKF,BMW,X5,2002,2006,12.88,24x25x22 cm,123.77,83.91
SKU-022048,NGK Spark Plug,High quality Spark Plug for Toyota Civic,OEM-423863,NGK,Toyota,Civic,2003,2009,3.01,50x44x11 cm,220.09,142.02
SKU-022049,Bosch Alternator,High quality Alternator for Kia Corolla,OEM-885407,Bosch,Kia,Corolla,2003,2009,5.93,16x10x6 cm,426.29,327.89
SKU-022050,Delphi Alternator,High quality Alternator for Toyota Corolla,OEM-831963,Delphi,Toyota,Corolla,2015,2020,8.56,25x41x15 cm,169.18,90.03
SKU-022051,Denso Radiator,High quality Radiator for Kia Sportage,OEM-412223,Denso,Kia,Sportage,2004,2009,8.9,32x23x8 cm,112.59,77.94
SKU-022052,Febi Oil Filter,High quality Oil Filter for Audi Corolla,OEM-478384,Febi,Audi,Corolla,2012,2016,3.55,27x41x10 cm,306.25,194.18
SKU-022053,Mahle Brake Pad,High quality Brake Pad for Honda Corolla,OEM-349181,Mahle,Honda,Corolla,2013,2017,2.44,14x18x26 cm,170.79,112.5
SKU-022054,Valeo Oil Filter,High quality Oil Filter for Kia X5,OEM-745332,Valeo,Kia,X5,2014,2015,14.78,45x32x17 cm,180.43,134.48
SKU-022055,Delphi Brake Pad,High quality Brake Pad for Toyota Civic,OEM-807562,Delphi,Toyota,Civic,2009,2016,10.95,33x42x28 cm,213.71,166.77
SKU-022056,Delphi Shock Absorber,High quality Shock Absorber for Hyundai Corolla,OEM-228976,Delphi,Hyundai,Corolla,2008,2013,0.29,12x27x6 cm,151.36,98.66
SKU-022057,NGK Shock Absorber,High quality Shock Absorber for Audi C-Class,OEM-806373,NGK,Audi,C-Class,2004,2007,9.47,44x22x10 cm,313.3,234.69
SKU-022058,Febi Fuel Pump,High quality Fuel Pump for Hyundai Sportage,OEM-721597,Febi,Hyundai,Sportage,2016,2017,0.62,26x39x26 cm,192.55,128.63
SKU-022059,SKF Brake Pad,High quality Brake Pad for Audi C-Class,OEM-357005,SKF,Audi,C-Class,2000,2007,0.17,22x45x7 cm,328.05,229.49
SKU-022060,Mahle Timing Belt,High quality Timing Belt for BMW C-Class,OEM-395954,Mahle,BMW,C-Class,2006,2007,4.14,19x19x14 cm,142.9,94.23
SKU-022061,Mahle Brake Pad,High quality Brake Pad for Hyundai Corolla,OEM-619574,Mahle,Hyundai,Corolla,2017,2019,11.0,13x28x15 cm,414.34,243.17
SKU-022062,NGK Brake Pad,High quality Brake Pad for Kia Focus,OEM-701366,NGK,Kia,Focus,2010,2013,0.23,44x27x29 cm,244.98,195.68
SKU-022063,Valeo Air Filter,High quality Air Filter for Honda Sportage,OEM-859932,Valeo,Honda,Sportage,2000,2001,1.94,35x22x28 cm,197.18,149.53
SKU-022064,Bosch Oil Filter,High quality Oil Filter for Toyota X5,OEM-233345,Bosch,Toyota,X5,2012,2015,7.67,41x20x26 cm,407.62,296.63
SKU-022065,SKF Spark Plug,High quality Spark Plug for Hyundai X5,OEM-768299,SKF,Hyundai,X5,2013,2016,14.63,25x49x14 cm,98.85,70.94
SKU-022066,NGK Oil Filter,High quality Oil Filter for BMW Elantra,OEM-852542,NGK,BMW,Elantra,2018,2024,14.25,46x47x25 cm,401.19,217.26
SKU-022067,NGK Alternator,High quality Alternator for Toyota Camry,OEM-505481,NGK,Toyota,Camry,2005,2008,0.48,50x30x19 cm,313.55,250.43
